Nom,Description,Adresse,Latitude,Longitude,Horaire,Type
Navette fluviale — Guillemins,Départ de l'excursion. Embarquement sur la navette fluviale vers le Quai Godfroid Kurth.,Quai de Fragnée — Liège,50.6244,5.5667,13h00,Départ
Débarquement — Quai Godfroid Kurth,Musée Curtius visible depuis le quai. Enigme : initiales I·C sur la façade.,Quai Godefroid Kurth 6 — Liège,50.6458,5.5869,~13h25,Énigme
Les 3 Coups,Pause boisson. Ancien repaire gastronomique dans un cadre architectural exceptionnel.,Rue de la Boucherie 9 — Liège,50.6456,5.5779,~14h10,Pause
Église Saint-Barthélemy,Énigme : les fonts baptismaux de Renier de Huy et les bœufs manquants.,Place Saint-Barthélemy 8 — Liège,50.6479,5.5829,~14h40,Énigme
Impasse de la Vignette + Impasse Hubart,Défi groupé : matériaux et fenêtres — quel siècle ?,Rue Hors-Château — Liège,50.6485,5.5816,~15h10,Défi groupé
Impasses des Anges · Venta · Couronne,Défi collectif : trouver l'élément végétal commun dans les 3 ruelles.,Rue Hors-Château — Liège,50.6479,5.5799,~15h35,Défi groupé
Impasse des Ursulines,Énigme solo : rôle des Ursulines et sort du couvent après 1796.,Rue Hors-Château — Liège,50.6475,5.5778,~15h50,Énigme
Impasse Dropier,Énigme solo : étymologie wallonne du drapier médiéval.,Rue Hors-Château — Liège,50.6479,5.5795,~16h00,Énigme
Impasse Pomme Pourrie,Énigme solo : déformation wallonne de 'Pomme d'Or'.,Rue Hors-Château — Liège,50.6480,5.5796,~16h10,Énigme
Cour Saint-Antoine,Énigme solo : niche votive sur les murs de la cour.,Rue Hors-Château — Liège,50.6476,5.5811,~16h20,Énigme
Montagne de Bueren,374 marches. Énigme : mémorial 1914 au sommet — quel régiment ?,Montagne de Bueren 25 — Liège,50.6481,5.5774,~16h30,Énigme
Tour des Vieux Joncs,Énigme : fondation de l'ordre teutonique en Terre sainte.,Rue du Palais / Rue Pierreuse — Liège,50.6468,5.5743,~17h00,Énigme
Green Mill,Pause cocktail. Bar Prohibition caché au fond d'une allée. Note 5/5.,Rue du Palais 60/A — Liège,50.6467,5.5743,~17h30,Pause
Marché sicilien — Place Saint-Lambert,Grignoter sur place. Énigme : le cri wallon 'Al bia Liège !'.,Place Saint-Lambert — Liège,50.6456,5.5736,~18h00,Énigme
The Workshop of Gin,Fin de journée. Plus de 200 gins. Dégustation guidée.,Rue du Pont 5 — Liège,50.6457,5.5772,~19h30,Pause
